profil,quelle,A,B,C,D,Last,a_max,sigma_max,SF
H-Profil,aluminiumnachmass.de,32,18,2.0,1.5,50.0,0.66,92.24936812144222,1.7344292243754675
IPE-Profil,rexin-shop.de,64,120,4.4,6.3,50.0,0.66,1.4782533780424203,108.23584263469114
H-Profil,Alu-messing-shop.de,24,16,1.5,1.5,50.0,0.66,143.09586642521725,1.1181315295618057
4-Kant,Alu-messing-shop.de,10,10,1.0,1.0,50.0,0.66,739.069847560976,0.21648833398902723
4-Kant,Alu-messing-shop.de,20,20,2.0,2.0,50.0,0.66,92.68655487804885,1.7262482159415458
4-Kant,Alu-messing-shop.de,60,60,2.0,2.0,50.0,0.66,8.485320562699654,18.856093746574388
H-Profil,aluminiumnachmass.de,33,32,2.0,1.5,100.0,0.66,85.96221759995088,1.8612828341004948
H-Profil,aluminiumnachmass.de,33,43,2.0,1.5,100.0,0.66,58.75400975019192,2.7232183927579063
H-Profil,aluminiumnachmass.de,32,18,2.0,1.5,100.0,0.66,184.14691650853902,0.868871458907001
IPE-Profil,rexin-shop.de,64,120,4.4,6.3,100.0,0.66,2.901210650319425,55.14939081806553
H-Profil,Alu-messing-shop.de,24,16,1.5,1.5,100.0,0.66,285.7950091157425,0.5598418268221139
4-Kant,Alu-messing-shop.de,10,10,1.0,1.0,100.0,0.66,1477.3321646341474,0.10830333477483248
4-Kant,Alu-messing-shop.de,20,20,2.0,2.0,100.0,0.66,184.96934451219525,0.8650082013425258
4-Kant,Alu-messing-shop.de,60,60,2.0,2.0,100.0,0.66,16.85267645794087,9.494040925743226
